2025-04-22 22:32:01,509 Train started...
2025-04-22 22:32:01,516 Loading checkpoint: 16, /mydata/deepcloud/yves/A_RadiativeFlux/results/gnn_256_l4/checkpoint_epoch_16.pth
2025-04-22 22:32:02,322 Training will continue from epoch: 16/80
Trainable parameters: 1,388,548
batch 2700, time:0.528, loss: 52.6424, mean_absolute_error: 2.4829
batch 2800, time:0.542, loss: 49.2111, mean_absolute_error: 2.4658
batch 2900, time:0.539, loss: 50.9055, mean_absolute_error: 2.6280
batch 3000, time:0.546, loss: 34.0463, mean_absolute_error: 2.2267
batch 3100, time:0.540, loss: 43.1307, mean_absolute_error: 2.1772
batch 3200, time:0.545, loss: 82.3881, mean_absolute_error: 3.0202
batch 3300, time:0.551, loss: 42.3278, mean_absolute_error: 2.3081
batch 3400, time:0.537, loss: 64.4970, mean_absolute_error: 2.7225
batch 3500, time:0.544, loss: 75.0876, mean_absolute_error: 3.1333
batch 3600, time:0.534, loss: 53.8345, mean_absolute_error: 2.4212
batch 3700, time:0.545, loss: 50.7881, mean_absolute_error: 2.5006
batch 3800, time:0.545, loss: 52.4198, mean_absolute_error: 2.6004
batch 3900, time:0.544, loss: 63.6349, mean_absolute_error: 2.5324
batch 4000, time:0.539, loss: 67.5429, mean_absolute_error: 2.7119
batch 4100, time:0.526, loss: 54.6762, mean_absolute_error: 2.7244
batch 4200, time:0.550, loss: 86.1442, mean_absolute_error: 2.9965
batch 4300, time:0.544, loss: 76.5581, mean_absolute_error: 2.8187
batch 4400, time:0.545, loss: 45.0790, mean_absolute_error: 2.3736
batch 4500, time:0.536, loss: 48.3619, mean_absolute_error: 2.4282
batch 4600, time:0.545, loss: 95.7190, mean_absolute_error: 3.2583
batch 4700, time:0.533, loss: 77.0714, mean_absolute_error: 2.7712
batch 4800, time:0.538, loss: 44.2827, mean_absolute_error: 2.1938
batch 4900, time:0.530, loss: 46.9583, mean_absolute_error: 2.4399
batch 5000, time:0.533, loss: 72.8292, mean_absolute_error: 2.7694
batch 5100, time:0.540, loss: 78.4583, mean_absolute_error: 2.8549
batch 5200, time:0.550, loss: 56.8434, mean_absolute_error: 2.7588
batch 5300, time:0.540, loss: 64.1101, mean_absolute_error: 2.7964
batch 5400, time:0.538, loss: 41.9728, mean_absolute_error: 2.3200
batch 5500, time:0.536, loss: 59.7194, mean_absolute_error: 2.6385
batch 5600, time:0.544, loss: 44.8428, mean_absolute_error: 2.4699
