
2025-04-18 13:09:29,017 Train started...
Trainable parameters: 1,388,548
batch 900, time:0.140, loss: 479.8308, mean_absolute_error: 7.3570
batch 1000, time:0.134, loss: 404.1232, mean_absolute_error: 6.8365
batch 1100, time:0.133, loss: 432.2439, mean_absolute_error: 7.5287
batch 1200, time:0.137, loss: 391.1282, mean_absolute_error: 6.9350
batch 1300, time:0.140, loss: 384.3384, mean_absolute_error: 6.7627
batch 1400, time:0.137, loss: 422.1658, mean_absolute_error: 7.2945
batch 1500, time:0.147, loss: 510.3137, mean_absolute_error: 7.6203
batch 1600, time:0.147, loss: 452.8737, mean_absolute_error: 7.2040
batch 1700, time:0.141, loss: 471.0959, mean_absolute_error: 7.1152
batch 1800, time:0.146, loss: 418.5360, mean_absolute_error: 7.1469
batch 1900, time:0.146, loss: 467.4503, mean_absolute_error: 7.8409
batch 2000, time:0.149, loss: 425.4184, mean_absolute_error: 7.0581
batch 2100, time:0.139, loss: 441.1463, mean_absolute_error: 6.7485
batch 2200, time:0.151, loss: 406.8719, mean_absolute_error: 6.8404
batch 2300, time:0.144, loss: 403.3763, mean_absolute_error: 6.9070
batch 2400, time:0.146, loss: 376.8707, mean_absolute_error: 6.6770
batch 2500, time:0.137, loss: 342.8346, mean_absolute_error: 6.3429
batch 2600, time:0.143, loss: 360.7457, mean_absolute_error: 7.0362
batch 2700, time:0.146, loss: 421.1355, mean_absolute_error: 7.3790
batch 2800, time:0.151, loss: 432.3634, mean_absolute_error: 6.9731
012/30:  time: 1263.812 loss: 440.2212  mean_absolute_error: 7.2120,  val_loss: 452.7946,  val_mean_absolute_error: 7.1259
batch 100, time:0.144, loss: 441.5692, mean_absolute_error: 7.5734
batch 200, time:0.146, loss: 386.2399, mean_absolute_error: 6.7958
batch 300, time:0.144, loss: 459.6341, mean_absolute_error: 7.4972
batch 400, time:0.138, loss: 371.5224, mean_absolute_error: 6.6468
batch 500, time:0.124, loss: 419.5627, mean_absolute_error: 7.2126
batch 600, time:0.143, loss: 431.3383, mean_absolute_error: 7.3034
batch 700, time:0.148, loss: 471.5724, mean_absolute_error: 7.4330
batch 800, time:0.154, loss: 386.4345, mean_absolute_error: 6.8467
batch 900, time:0.138, loss: 454.9287, mean_absolute_error: 7.1515
batch 1000, time:0.143, loss: 564.7134, mean_absolute_error: 7.7084
batch 1100, time:0.136, loss: 425.0000, mean_absolute_error: 7.2199
batch 1200, time:0.150, loss: 481.3630, mean_absolute_error: 7.6747
batch 1300, time:0.136, loss: 398.2811, mean_absolute_error: 6.6946
batch 1400, time:0.134, loss: 475.0918, mean_absolute_error: 7.1342
batch 1500, time:0.142, loss: 336.6758, mean_absolute_error: 6.6864
batch 1600, time:0.143, loss: 437.4839, mean_absolute_error: 7.6344
batch 1700, time:0.144, loss: 345.5863, mean_absolute_error: 6.3703
batch 1800, time:0.142, loss: 502.2653, mean_absolute_error: 7.8377
batch 1900, time:0.096, loss: 441.6726, mean_absolute_error: 7.3042
batch 2000, time:0.142, loss: 421.7621, mean_absolute_error: 6.8319
