
2025-04-21 11:16:59,792 Train started...
Trainable parameters: 1,388,548
batch 4500, time:0.546, loss: 71.6488, mean_absolute_error: 3.0859
batch 4600, time:0.544, loss: 42.2455, mean_absolute_error: 2.5690
batch 4700, time:0.548, loss: 89.0537, mean_absolute_error: 3.6196
batch 4800, time:0.551, loss: 58.2836, mean_absolute_error: 2.7206
batch 4900, time:0.546, loss: 64.6398, mean_absolute_error: 3.0552
batch 5000, time:0.543, loss: 70.8213, mean_absolute_error: 3.0411
batch 5100, time:0.538, loss: 49.9752, mean_absolute_error: 2.9327
batch 5200, time:0.553, loss: 52.4989, mean_absolute_error: 3.0177
batch 5300, time:0.541, loss: 53.5563, mean_absolute_error: 2.6347
batch 5400, time:0.542, loss: 98.3955, mean_absolute_error: 3.4687
batch 5500, time:0.523, loss: 56.1720, mean_absolute_error: 2.8302
batch 5600, time:0.545, loss: 67.5817, mean_absolute_error: 3.1530
batch 5700, time:0.533, loss: 45.5910, mean_absolute_error: 2.7188
004/80:  time: 5648.046 loss: 63.4526  mean_absolute_error: 2.9954,  val_loss: 63.5159,  val_mean_absolute_error: 2.9482
batch 100, time:0.552, loss: 43.5162, mean_absolute_error: 2.6728
batch 200, time:0.545, loss: 88.8461, mean_absolute_error: 3.1991
batch 300, time:0.538, loss: 56.6764, mean_absolute_error: 3.1009
batch 400, time:0.532, loss: 93.8629, mean_absolute_error: 3.3605
batch 500, time:0.541, loss: 39.0851, mean_absolute_error: 2.4079
batch 600, time:0.547, loss: 38.2536, mean_absolute_error: 2.5271
batch 700, time:0.526, loss: 52.7647, mean_absolute_error: 2.9664
batch 800, time:0.529, loss: 60.8982, mean_absolute_error: 2.8879
batch 900, time:0.556, loss: 74.5638, mean_absolute_error: 2.7382
batch 1000, time:0.541, loss: 72.9180, mean_absolute_error: 2.9822
batch 1100, time:0.556, loss: 63.5817, mean_absolute_error: 2.9773
batch 1200, time:0.552, loss: 57.1169, mean_absolute_error: 2.9208
batch 1300, time:0.552, loss: 77.9236, mean_absolute_error: 3.0155
batch 1400, time:0.554, loss: 43.6471, mean_absolute_error: 2.4732
